Player,Team,G,GS,QS,IP,K,HLD,SV,ERA,WHIP
Tanner Roark,CIN,31,31,17,186,157,0,0,4.16,1.28
David Robertson,PHI,65,0,0,68,91,4,24,2.78,1.01
Hansel Robles,LAA,53,0,0,60,64,8,1,4.05,1.37
Fernando Rodney,OAK,65,0,0,63,69,15,6,3.57,1.33
Carlos Rodon,CWS,28,28,13,167,147,0,0,3.88,1.26
Eduardo Rodriguez,BOS,27,27,10,154,168,0,0,4.09,1.28
Dereck Rodriguez,SF,28,28,16,170,138,0,0,3.28,1.18
Richard Rodriguez,PIT,60,0,0,63,82,7,0,3.71,1.29
Chaz Roe,TB,47,0,0,51,56,27,0,3.53,1.04
Taylor Rogers,MIN,69,0,0,63,65,24,1,3,1.11
Fernando Romero,MIN,21,21,7,118,104,0,0,3.66,1.28
Sergio Romo,MIA,62,0,0,57,63,18,4,3.79,1.21
Hector Rondon,HOU,61,0,0,57,66,9,2,3.63,1.25
Trevor Rosenthal,WAS,51,0,0,49,70,19,3,3.31,1.39
Joe Ross,WAS,24,24,10,135,121,0,0,3.87,1.36
Tyson Ross,DET,25,20,10,124,108,0,0,4.35,1.24
Chris Rusin,COL,59,0,0,76,64,8,0,4.26,1.29
Hyun-Jin Ryu,LAD,20,20,12,109,106,0,0,2.97,1.18
CC Sabathia,NYY,28,28,12,156,135,0,0,3.69,1.3
Chris Sale,BOS,29,29,21,178,245,0,0,2.83,0.99
Jeff Samardzija,SF,21,21,6,125,111,0,0,4.61,1.25
Anibal Sanchez,WAS,28,22,10,129,125,0,0,4.4,1.3
Aaron Sanchez,TOR,21,21,8,116,93,0,0,4.19,1.45
Ervin Santana,FA,22,22,11,136,106,0,0,3.84,1.2
Hector Santiago,NYM,35,14,4,105,92,0,0,4.8,1.48
Max Scherzer,WAS,33,33,23,215,286,0,0,2.6,0.92
Tanner Scott,BAL,52,0,0,51,69,9,0,4.41,1.55
Antonio Senzatela,COL,39,19,7,122,96,0,0,4.28,1.31
Luis Severino,NYY,31,31,17,187,216,0,0,3.42,1.06
Justus Sheffield,SEA,23,23,4,122,107,0,0,3.84,1.39
Jimmie Sherfy,ARI,39,0,0,41,49,5,1,2.2,1.02
Matt Shoemaker,TOR,15,15,5,82,76,0,0,4.39,1.26
Tyler Skaggs,LAA,29,29,12,149,148,0,0,3.99,1.33
Will Smith,SF,63,0,0,55,73,3,26,2.78,1.09
Caleb Smith,MIA,21,21,10,108,116,0,0,4.08,1.27
Drew Smith,NYM,59,0,0,62,48,5,0,3.77,1.35
Blake Snell,TB,32,32,20,188,200,0,0,2.54,1.08
Joakim Soria,OAK,64,0,0,60,70,15,8,3.45,1.23
Mike Soroka,ATL,17,17,5,102,78,0,0,3.44,1.23
Craig Stammen,SD,65,0,0,79,78,16,0,3.08,1.11
Ryne Stanek,TB,55,0,0,66,82,4,0,3.27,1.2
Drew Steckenrider,MIA,70,0,0,67,86,0,25,3.22,1.21
Robert Stephenson,CIN,24,15,2,89,89,0,0,4.55,1.44
Matt Strahm,SD,48,6,0,69,78,5,0,3.52,1.13
Dan Straily,MIA,31,31,11,143,139,0,0,4.59,1.43
Stephen Strasburg,WAS,29,29,14,177,211,0,0,3.41,1.12
Chris Stratton,SF,29,29,12,158,125,0,0,4.78,1.44
Hunter Strickland,SEA,64,0,0,58,48,10,15,4.03,1.45
